gbifID,catalogNumber,institutionCode,cch2_occid,occurrenceID,locality,eventDate,scientificName,otherCatalogNumbers,image_source,source_dir,original_filename,original_stem,scoring_filename,id_check_status,id_check_notes,source_priority,selected_for_scoring
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2317066.jpg,2317066,SML_2317066.jpg,unmatched,no unified occurrence row for CCH2 occid=2317066,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2318818.jpg,2318818,SML_2318818.jpg,unmatched,no unified occurrence row for CCH2 occid=2318818,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2321963.jpg,2321963,SML_2321963.jpg,unmatched,no unified occurrence row for CCH2 occid=2321963,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2322749.jpg,2322749,SML_2322749.jpg,unmatched,no unified occurrence row for CCH2 occid=2322749,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2324050.jpg,2324050,SML_2324050.jpg,unmatched,no unified occurrence row for CCH2 occid=2324050,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2324177.jpg,2324177,SML_2324177.jpg,unmatched,no unified occurrence row for CCH2 occid=2324177,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2324744.jpg,2324744,SML_2324744.jpg,unmatched,no unified occurrence row for CCH2 occid=2324744,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2328064.jpg,2328064,SML_2328064.jpg,unmatched,no unified occurrence row for CCH2 occid=2328064,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2331781.jpg,2331781,SML_2331781.jpg,unmatched,no unified occurrence row for CCH2 occid=2331781,3,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,cch2_original,/Volumes/Radishes/OG_CCH2_phenology_scored_specimen_images,SML_2332340.jpg,2332340,SML_2332340.jpg,unmatched,no unified occurrence row for CCH2 occid=2332340,3,FALSE
